800-999 Injury And Poisoning
	800-804 Fracture Of Skull
		800 Fracture of vault of skull
			944.44 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, two or more digits of hand including thumb
			944.45 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of palm of hand
			944.46 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of back of hand
			944.47 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of wrist
			944.48 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of multiple sites of wrist(s) and hand(s)
			944.5 Deep necrosis of underlying tissues due to burn (deep third degree) of wrist(s) and hand(s) with loss of a body part
			944.50 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of hand, unspecified site
			944.51 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of single digit [finger (nail)] other than thumb
			944.52 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of thumb (nail)
			944.53 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of two or more digits of hand, not including thumb
			944.54 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of two or more digits of hand including thumb
			944.55 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of palm of hand
			944.56 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of back of hand
			944.57 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of wrist
			944.58 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of multiple sites of wrist(s) and hand(s)
		945 Burn of lower limb(s)
			945 Burn of lower limb(s)
			945.0 Burn of lower limb(s) unspecified degree
			945.00 Burn of unspecified degree of lower limb [leg], unspecified site
			945.01 Burn of unspecified degree of toe(s) (nail)
			945.02 Burn of unspecified degree of foot
			945.03 Burn of unspecified degree of ankle
			945.04 Burn of unspecified degree of lower leg
			945.05 Burn of unspecified degree of knee
			945.06 Burn of unspecified degree of thigh [any part]
			945.09 Burn of unspecified degree of multiple sites of lower limb(s)
			945.1 Erythema due to burn (first degree) of lower limb(s)
			945.10 Erythema [first degree] of lower limb [leg], unspecified site
			945.11 Erythema [first degree] of toe(s) (nail)
			945.12 Erythema [first degree] of foot
			945.13 Erythema [first degree] of ankle
			945.14 Erythema [first degree] of lower leg
			945.15 Erythema [first degree] of knee
			945.16 Erythema [first degree] of thigh [any part]
			945.19 Erythema [first degree] of multiple sites of lower limb(s)
			945.2 Blisters with epidermal loss due to burn (second degree) of lower limb(s)
			945.20 Blisters, epidermal loss [second degree] of lower limb [leg], unspecified site
			945.21 Blisters, epidermal loss [second degree] of toe(s) (nail)
			945.22 Blisters, epidermal loss [second degree] of foot
			945.23 Blisters, epidermal loss [second degree] of ankle
			945.24 Blisters, epidermal loss [second degree] of lower leg
			945.25 Blisters, epidermal loss [second degree] of knee
			945.26 Blisters, epidermal loss [second degree] of thigh [any part]
			945.29 Blisters, epidermal loss [second degree] of multiple sites of lower limb(s)
			945.3 Full-thickness skin loss due to burn (third degree nos) of lower limb(s)
			945.30 Full-thickness skin loss [third degree NOS] of lower limb [leg] unspecified site
			945.31 Full-thickness skin loss [third degree NOS] of toe(s) (nail)
			945.32 Full-thickness skin loss [third degree NOS] of foot
			945.33 Full-thickness skin loss [third degree NOS] of ankle
			945.34 Full-thickness skin loss [third degree nos] of lower leg
			945.35 Full-thickness skin loss [third degree NOS] of knee
			945.36 Full-thickness skin loss [third degree NOS] of thigh [any part]
			945.39 Full-thickness skin loss [third degree NOS] of multiple sites of lower limb(s)
			945.4 Deep necrosis of underlying tissues due to burn (deep third degree) of lower limb(s) without mention of loss of a body part
			945.40 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, lower limb [leg], unspecified site
			945.41 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of toe(s)(nail)
			945.42 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of foot
			945.43 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of ankle
			945.44 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of lower leg
			945.45 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of knee
			945.46 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of thigh [any part]
			945.49 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of multiple sites of lower limb(s)
			945.5 Deep necrosis of underlying tissues due to burn (deep third degree) of lower limb(s) with loss of a body part
			945.50 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of lower limb [leg], unspecified site
			945.51 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of toe(s) (nail)
			945.52 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of foot
			945.53 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of ankle
			945.54 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of lower leg
			945.55 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of knee
			945.56 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of thigh [any part]
			945.59 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of multiple sites of lower limb(s)
		946 Burns of multiple specified sites
			946 Burns of multiple specified sites
			946.0 Burns of multiple specified sites, unspecified degree
			946.1 Erythema [first degree] of multiple specified sites
			946.2 Blisters, epidermal loss [second degree] of multiple specified sites
			946.3 Full-thickness skin loss [third degree NOS] of multiple specified sites
			946.4 Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of multiple specified sites
			946.5 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of multiple specified sites
		947 Burn of internal organs
			947 Burn of internal organs
			947.0 Burn of mouth and pharynx
			947.1 Burn of larynx, trachea, and lung
			947.2 Burn of esophagus
			947.3 Burn of gastrointestinal tract
			947.4 Burn of vagina and uterus
			947.8 Burn of other specified sites of internal organs
			947.9 Burn of internal organs, unspecified site
		948 Burns classified according to extent of body surface involved
			948 Burns classified according to extent of body surface involved
			948.0 Burn (any degree) involving less than 10 percent of body surface
			948.00 Burn [any degree] involving less than 10 percent of body surface with third degree burn, less than 10 percent or unspecified
			948.1 Burn (any degree) involving 10-19 percent of body surface
			948.10 Burn [any degree] involving 10-19 percent of body surface with third degree burn, less than 10 percent or unspecified
			948.11 Burn [any degree] involving 10-19 percent of body surface with third degree burn, 10-19%
			948.2 Burn (any degree) involving 20-29 percent of body surface
			948.20 Burn [any degree] involving 20-29 percent of body surface with third degree burn, less than 10 percent or unspecified
			948.21 Burn [any degree] involving 20-29 percent of body surface with third degree burn, 10-19%
			948.22 Burn [any degree] involving 20-29 percent of body surface with third degree burn, 20-29%
			948.3 Burn (any degree) involving 30-39 percent of body surface
			948.30 Burn [any degree] involving 30-39 percent of body surface with third degree burn, less than 10 percent or unspecified
			948.31 Burn [any degree] involving 30-39 percent of body surface with third degree burn, 10-19%
			948.32 Burn [any degree] involving 30-39 percent of body surface with third degree burn, 20-29%
			948.33 Burn [any degree] involving 30-39 percent of body surface with third degree burn, 30-39%
			948.4 Burn (any degree) involving 40-49 percent of body surface
			948.40 Burn [any degree] involving 40-49 percent of body surface with third degree burn, less than 10 percent or unspecified
			948.41 Burn [any degree] involving 40-49 percent of body surface with third degree burn, 10-19%
			948.42 Burn [any degree] involving 40-49 percent of body surface with third degree burn, 20-29%
			948.43 Burn [any degree] involving 40-49 percent of body surface with third degree burn, 30-39%
			948.44 Burn [any degree] involving 40-49 percent of body surface with third degree burn, 40-49%
			948.5 Burn (any degree) involving 50-59 percent of body surface
			948.50 Burn [any degree] involving 50-59 percent of body surface with third degree burn, less than 10 percent or unspecified
			948.51 Burn [any degree] involving 50-59 percent of body surface with third degree burn, 10-19%
			948.52 Burn [any degree] involving 50-59 percent of body surface with third degree burn, 20-29%
			948.53 Burn [any degree] involving 50-59 percent of body surface with third degree burn, 30-39%
			948.54 Burn [any degree] involving 50-59 percent of body surface with third degree burn, 40-49%
			948.55 Burn [any degree] involving 50-59 percent of body surface with third degree burn, 50-59%
			948.6 Burn (any degree) involving 60-69 percent of body surface
			948.60 Burn [any degree] involving 60-69 percent of body surface with third degree burn, less than 10 percent or unspecified
			948.61 Burn [any degree] involving 60-69 percent of body surface with third degree burn, 10-19%
			948.62 Burn [any degree] involving 60-69 percent of body surface with third degree burn, 20-29%
			948.63 Burn [any degree] involving 60-69 percent of body surface with third degree burn, 30-39%
			948.64 Burn [any degree] involving 60-69 percent of body surface with third degree burn, 40-49%
			948.65 Burn (any degree) involving 60-69 percent of body surface with third degree burn, 50-59%
			948.66 Burn [any degree] involving 60-69 percent of body surface with third degree burn, 60-69%
			948.7 Burn (any degree) involving 70-79 percent of body surface
			948.70 Burn [any degree] involving 70-79 percent of body surface with third degree burn, less than 10 percent or unspecified
			948.71 Burn [any degree] involving 70-79 percent of body surface with third degree burn, 10-19%
			948.72 Burn [any degree] involving 70-79 percent of body surface with third degree burn, 20-29%
			948.73 Burn [any degree] involving 70-79 percent of body surface with third degree burn, 30-39%
			948.74 Burn [any degree] involving 70-79 percent of body surface with third degree burn, 40-49%
			948.75 Burn [any degree] involving 70-79 percent of body surface with third degree burn, 50-59%
			948.76 Burn [any degree] involving 70-79 percent of body surface with third degree burn, 60-69%
			948.77 Burn [any degree] involving 70-79 percent of body surface with third degree burn, 70-79%
			948.8 Burn (any degree) involving 80-89 percent of body surface
			948.80 Burn [any degree] involving 80-89 percent of body surface with third degree burn, less than 10 percent or unspecified
			948.81 Burn [any degree] involving 80-89 percent of body surface with third degree burn, 10-19%
			948.82 Burn [any degree] involving 80-89 percent of body surface with third degree burn, 20-29%
			948.83 Burn [any degree] involving 80-89 percent of body surface with third degree burn, 30-39%
			948.84 Burn [any degree] involving 80-89 percent of body surface with third degree burn, 40-49%
			948.85 Burn [any degree] involving 80-89 percent of body surface with third degree burn, 50-59%
			948.86 Burn [any degree] involving 80-89 percent of body surface with third degree burn, 60-69%
			948.87 Burn [any degree] involving 80-89 percent of body surface with third degree burn, 70-79%
			948.88 Burn [any degree] involving 80-89 percent of body surface with third degree burn, 80-89%
			948.9 Burn (any degree) involving 90 percent or more of body surface
			948.90 Burn [any degree] involving 90 percent or more of body surface with third degree burn, less than 10 percent or unspecified
			948.91 Burn [any degree] involving 90 percent or more of body surface with third degree burn, 10-19%
			948.92 Burn [any degree] involving 90 percent or more of body surface with third degree burn, 20-29%
			948.93 Burn [any degree] involving 90 percent or more of body surface with third degree burn, 30-39%
			948.94 Burn [any degree] involving 90 percent or more of body surface with third degree burn, 40-49%
			948.95 Burn [any degree] involving 90 percent or more of body surface with third degree burn, 50-59%
			948.96 Burn [any degree] involving 90 percent or more of body surface with third degree burn, 60-69%
			948.97 Burn [any degree] involving 90 percent or more of body surface with third degree burn, 70-79%
			948.98 Burn [any degree] involving 90 percent or more of body surface with third degree burn, 80-89%
			948.99 Burn [any degree] involving 90 percent or more of body surface with third degree burn, 90% or more of body surface
		949 Burn unspecified site
			949 Burn unspecified site
			949.0 Burn of unspecified site, unspecified degree
			949.1 Erythema [first degree], unspecified site
			949.2 Blisters, epidermal loss [second degree], unspecified site
			949.3 Full-thickness skin loss [third degree nos]
			949.4 Deep necrosis of underlying tissue [deep third degree] without mention of loss of a body part, unspecified
			949.5 Deep necrosis of underlying tissues [deep third degree] with loss of a body part, unspecified
	950-957 Injury To Nerves And Spinal Cord
		950 Injury to optic nerve and pathways
			950 Injury to optic nerve and pathways
			950.0 Optic nerve injury
			950.1 Injury to optic chiasm
			950.2 Injury to optic pathways
			950.3 Injury to visual cortex
			950.9 Injury to unspecified optic nerve and pathways
		951 Injury to other cranial nerve(s)
			951 Injury to other cranial nerve(s)
			951.0 Injury to oculomotor nerve
			951.1 Injury to trochlear nerve
			951.2 Injury to trigeminal nerve
			951.3 Injury to abducens nerve
			951.4 Injury to facial nerve
			951.5 Injury to acoustic nerve
			951.6 Injury to accessory nerve
			951.7 Injury to hypoglossal nerve
			951.8 Injury to other specified cranial nerves
			951.9 Injury to unspecified cranial nerve
		952 Spinal cord injury without evidence of spinal bone injury
			952 Spinal cord injury without evidence of spinal bone injury
			952.0 Cervical spinal cord injury without evidence of spinal bone injury
			952.00 C1-C4 level with unspecified spinal cord injury
			952.01 C1-C4 level with complete lesion of spinal cord
			952.02 C1-C4 level with anterior cord syndrome
			952.03 C1-C4 level with central cord syndrome
			952.04 C1-C4 level with other specified spinal cord injury
			952.05 C5-C7 level with unspecified spinal cord injury
			952.06 C5-C7 level with complete lesion of spinal cord
			952.07 C5-C7 level with anterior cord syndrome
			952.08 C5-C7 level with central cord syndrome
			952.09 C5-C7 level with other specified spinal cord injury
			952.1 Dorsal (thoracic) spinal cord injury without evidence of spinal bone injury
			952.10 T1-T6 level with unspecified spinal cord injury
			952.11 T1-T6 level with complete lesion of spinal cord
			952.12 T1-T6 level with anterior cord syndrome
			952.13 T1-T6 level with central cord syndrome
			952.14 T1-T6 level with other specified spinal cord injury
			952.15 T7-T12 level with unspecified spinal cord injury
			952.16 T7-T12 level with complete lesion of spinal cord
			952.17 T7-T12 level with anterior cord syndrome
			952.18 T7-T12 level with central cord syndrome
			952.19 T7-T12 level with other specified spinal cord injury
			952.2 Lumbar spinal cord injury without evidence of spinal bone injury
			952.3 Sacral spinal cord injury without evidence of spinal bone injury
			952.4 Cauda equina spinal cord injury without evidence of spinal bone injury
			952.8 Multiple sites of spinal cord injury without evidence of spinal bone injury
			952.9 Unspecified site of spinal cord injury without evidence of spinal bone injury
		953 Injury to nerve roots and spinal plexus
			953 Injury to nerve roots and spinal plexus
			953.0 Injury to cervical nerve root
			953.1 Injury to dorsal nerve root
			953.2 Injury to lumbar nerve root
			953.3 Injury to sacral nerve root
			953.4 Injury to brachial plexus
			953.5 Injury to lumbosacral plexus
			953.8 Injury to multiple sites of nerve roots and spinal plexus
			953.9 Injury to unspecified site of nerve roots and spinal plexus
		954 Injury to other nerve(s) of trunk excluding shoulder and pelvic girdles
			954 Injury to other nerve(s) of trunk excluding shoulder and pelvic girdles
			954.0 Injury to cervical sympathetic nerve, excluding shoulder and pelvic girdles
			954.1 Injury to other sympathetic nerve, excluding shoulder and pelvic girdles
			954.8 Injury to other specified nerve(s) of trunk, excluding shoulder and pelvic girdles
			954.9 Injury to unspecified nerve of trunk, excluding shoulder and pelvic girdles
		955 Injury to peripheral nerve(s) of shoulder girdle and upper limb
			955 Injury to peripheral nerve(s) of shoulder girdle and upper limb
			955.0 Injury to axillary nerve
			955.1 Injury to median nerve
			955.2 Injury to ulnar nerve
			955.3 Injury to radial nerve
			955.4 Injury to musculocutaneous nerve
			955.5 Injury to cutaneous sensory nerve, upper limb
			955.6 Injury to digital nerve, upper limb
			955.7 Injury to other specified nerve(s) of shoulder girdle and upper limb
			955.8 Injury to multiple nerves of shoulder girdle and upper limb
			955.9 Injury to unspecified nerve of shoulder girdle and upper limb
		956 Injury to peripheral nerve(s) of pelvic girdle and lower limb
			956 Injury to peripheral nerve(s) of pelvic girdle and lower limb
			956.0 Injury to sciatic nerve
			956.1 Injury to femoral nerve
			956.2 Injury to posterior tibial nerve
			956.3 Injury to peroneal nerve
			956.4 Injury to cutaneous sensory nerve, lower limb
			956.5 Injury to other specified nerve(s) of pelvic girdle and lower limb
			956.8 Injury to multiple nerves of pelvic girdle and lower limb
			956.9 Injury to unspecified nerve of pelvic girdle and lower limb
		957 Injury to other and unspecified nerves
			957 Injury to other and unspecified nerves
			957.0 Injury to superficial nerves of head and neck
			957.1 Injury to other specified nerve(s)
			957.8 Injury to multiple nerves in several parts
			957.9 Injury to nerves, unspecified site
	958-959 Certain Traumatic Complications And Unspecified Injuries
		958 Certain early complications of trauma
			958 Certain early complications of trauma
			958.0 Air embolism
			958.1 Fat embolism
			958.2 Secondary and recurrent hemorrhage
			958.3 Posttraumatic wound infection not elsewhere classified
			958.4 Traumatic shock
			958.5 Traumatic anuria
			958.6 Volkmann's ischemic contracture
			958.7 Traumatic subcutaneous emphysema
			958.8 Other early complications of trauma
			958.9 Traumatic compartment syndrome
			958.90 Compartment syndrome, unspecified
			958.91 Traumatic compartment syndrome of upper extremity
			958.92 Traumatic compartment syndrome of lower extremity
			958.93 Traumatic compartment syndrome of abdomen
			958.99 Traumatic compartment syndrome of other sites
		959 Injury other and unspecified
			959 Injury other and unspecified
			959.0 Other and unspecified injury to head face and neck
			959.01 Head injury, unspecified
			959.09 Injury of face and neck
			959.1 Other and unspecified injury to trunk
			959.11 Other injury of chest wall
			959.12 Other injury of abdomen
			959.13 Fracture of corpus cavernosum penis
			959.14 Other injury of external genitals
			959.19 Other injury of other sites of trunk
			959.2 Shoulder and upper arm injury
			959.3 Elbow, forearm, and wrist injury
			959.4 Hand, except finger injury
			959.5 Finger injury
			959.6 Hip and thigh injury
			959.7 Knee, leg, ankle, and foot injury
			959.8 Other specified sites, including multiple injury
			959.9 Unspecified site injury
	960-979 Poisoning By Drugs, Medicinals And Biological Substances
		960 Poisoning by antibiotics
			960 Poisoning by antibiotics
			960.0 Poisoning by penicillins
			960.1 Poisoning by antifungal antibiotics
			960.2 Poisoning by chloramphenicol group
			960.3 Poisoning by erythromycin and other macrolides
			960.4 Poisoning by tetracycline group
			960.5 Poisoning of cephalosporin group
			960.6 Poisoning of antimycobacterial antibiotics
			960.7 Poisoning by antineoplastic antibiotics
			960.8 Poisoning by other specified antibiotics
			960.9 Poisoning by unspecified antibiotic
		961 Poisoning by other anti-infectives
			961 Poisoning by other anti-infectives
			961.0 Poisoning by sulfonamides
			961.1 Poisoning by arsenical anti-infectives
			961.2 Poisoning by heavy metal anti-infectives
			961.3 Poisoning by quinoline and hydroxyquinoline derivatives
			961.4 Poisoning by antimalarials and drugs acting on other blood protozoa
			961.5 Poisoning by other antiprotozoal drugs
			961.6 Poisoning by anthelmintics
			961.7 Poisoning by antiviral drugs
			961.8 Poisoning by other antimycobacterial drugs
			961.9 Poisoning by other and unspecified anti-infectives
		962 Poisoning by hormones and synthetic substitutes
			962 Poisoning by hormones and synthetic substitutes
			962.0 Poisoning by adrenal cortical steroids
			962.1 Poisoning by androgens and anabolic congeners
			962.2 Poisoning by ovarian hormones and synthetic substitutes
			962.3 Poisoning by insulins and antidiabetic agents
			962.4 Poisoning by anterior pituitary hormones
			962.5 Poisoning by posterior pituitary hormones
			962.6 Poisoning by parathyroid and parathyroid derivatives
			962.7 Poisoning by thyroid and thyroid derivatives
			962.8 Poisoning by antithyroid agents
			962.9 Poisoning by other and unspecified hormones and synthetic substitutes
		963 Poisoning by primarily systemic agents
			963 Poisoning by primarily systemic agents
			963.0 Poisoning by antiallergic and antiemetic drugs
			963.1 Poisoning by antineoplastic and immunosuppressive drugs
			963.2 Poisoning by acidifying agents
			963.3 Poisoning by alkalizing agents
			963.4 Poisoning by enzymes, not elsewhere classified
			963.5 Poisoning by vitamins, not elsewhere classified
			963.8 Poisoning by other specified systemic agents
			963.9 Poisoning by unspecified systemic agent
		964 Poisoning by agents primarily affecting blood constituents
			964 Poisoning by agents primarily affecting blood constituents
			964.0 Poisoning by iron and its compounds
			964.1 Poisoning by liver preparations and other antianemic agents
			964.2 Poisoning by anticoagulants
			964.3 Poisoning by vitamin K (phytonadione)
			964.4 Poisoning by fibrinolysis-affecting drugs
			964.5 Poisoning by anticoagulant antagonists and other coagulants
			964.6 Poisoning by gamma globulin
			964.7 Poisoning by natural blood and blood products
			964.8 Poisoning by other specified agents affecting blood constituents
			964.9 Poisoning by unspecified agent affecting blood constituents
		965 Poisoning by analgesics antipyretics and antirheumatics
			965 Poisoning by analgesics antipyretics and antirheumatics
			965.0 Poisoning by opiates and related narcotics
			965.00 Poisoning by opium (alkaloids), unspecified
			965.01 Poisoning by heroin
			965.02 Poisoning by methadone
			965.09 Poisoning by other opiates and related narcotics
			965.1 Poisoning by salicylates
			965.4 Poisoning by aromatic analgesics, not elsewhere classified
			965.5 Poisoning by pyrazole derivatives
			965.6 Poisoning by antirheumatics (antiphlogistics)
			965.61 Poisoning by propionic acid derivatives
			965.69 Poisoning by other antirheumatics
			965.7 Poisoning by other non-narcotic analgesics
			965.8 Poisoning by other specified analgesics and antipyretics
			965.9 Poisoning by unspecified analgesic and antipyretic
		966 Poisoning by anticonvulsants and anti-parkinsonism drugs
			966 Poisoning by anticonvulsants and anti-parkinsonism drugs
			966.0 Poisoning by oxazolidine derivatives
			966.1 Poisoning by hydantoin derivatives
			966.2 Poisoning by succinimides
			966.3 Poisoning by other and unspecified anticonvulsants
			966.4 Poisoning by anti-Parkinsonism drugs
		967 Poisoning by sedatives and hypnotics
			967 Poisoning by sedatives and hypnotics
			967.0 Poisoning by barbiturates
			967.1 Poisoning by chloral hydrate group
			967.2 Poisoning by paraldehyde
			967.3 Poisoning by bromine compounds
			967.4 Poisoning by methaqualone compounds
			967.5 Poisoning by glutethimide group
			967.6 Poisoning by mixed sedatives, not elsewhere classified
			967.8 Poisoning by other sedatives and hypnotics
			967.9 Poisoning by unspecified sedative or hypnotic
		968 Poisoning by other central nervous system depressants and anesthetics
			968 Poisoning by other central nervous system depressants and anesthetics
			968.0 Poisoning by central nervous system muscle-tone depressants
			968.1 Poisoning by halothane
			968.2 Poisoning by other gaseous anesthetics
			968.3 Poisoning by intravenous anesthetics
			968.4 Poisoning by other and unspecified general anesthetics
			968.5 Surface (topical) and infiltration anesthetics
			968.6 Poisoning by peripheral nerve- and plexus-blocking anesthetics
			968.7 Poisoning by spinal anesthetics
			968.9 Poisoning by other and unspecified local anesthetics
		969 Poisoning by psychotropic agents
			969 Poisoning by psychotropic agents
			969.0 Poisoning by antidepressants
			969.00 Poisoning by antidepressant, unspecified
			969.01 Poisoning by monoamine oxidase inhibitors
			969.02 Poisoning by selective serotonin and norepinephrine reuptake inhibitors
			969.03 Poisoning by selective serotonin reuptake inhibitors
			969.04 Poisoning by tetracyclic antidepressants
			969.05 Poisoning by tricyclic antidepressants
			969.09 Poisoning by other antidepressants
			969.1 Poisoning by phenothiazine-based tranquilizers
			969.2 Poisoning by butyrophenone-based tranquilizers
			969.3 Poisoning by other antipsychotics, neuroleptics, and major tranquilizers
			969.4 Poisoning by benzodiazepine-based tranquilizers
			969.5 Poisoning by other tranquilizers
			969.6 Poisoning by psychodysleptics (hallucinogens)
			969.7 Poisoning by psychostimulants
			969.70 Poisoning by psychostimulant, unspecified
			969.71 Poisoning by caffeine
			969.72 Poisoning by amphetamines
			969.73 Poisoning by methylphenidate
			969.79 Poisoning by other psychostimulants
			969.8 Poisoning by other specified psychotropic agents
			969.9 Poisoning by unspecified psychotropic agent
		970 Poisoning by central nervous system stimulants
			970 Poisoning by central nervous system stimulants
			970.0 Poisoning by analeptics
			970.1 Poisoning by opiate antagonists
			970.8 Poisoning by other specified central nervous system stimulants
			970.81 Poisoning by cocaine
			970.89 Poisoning by other central nervous system stimulants
			970.9 Poisoning by unspecified central nervous system stimulant
		971 Poisoning by drugs primarily affecting the autonomic nervous system
			971 Poisoning by drugs primarily affecting the autonomic nervous system
			971.0 Poisoning by parasympathomimetics (cholinergics)
			971.1 Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics
			971.2 Poisoning by sympathomimetics [adrenergics]
			971.3 Poisoning by sympatholytics [antiadrenergics]
			971.9 Poisoning by unspecified drug primarily affecting autonomic nervous system
		972 Poisoning by agents primarily affecting the cardiovascular system
			972 Poisoning by agents primarily affecting the cardiovascular system
			972.0 Poisoning by cardiac rhythm regulators
			972.1 Poisoning by cardiotonic glycosides and drugs of similar action
			972.2 Poisoning by antilipemic and antiarteriosclerotic drugs
			972.3 Poisoning by ganglion-blocking agents
			972.4 Poisoning by coronary vasodilators
			972.5 Poisoning by other vasodilators
			972.6 Poisoning by other antihypertensive agents
			972.7 Poisoning by antivaricose drugs, including sclerosing agents
			972.8 Poisoning by capillary-active drugs
			972.9 Poisoning by other and unspecified agents primarily affecting the cardiovascular system
		973 Poisoning by agents primarily affecting the gastrointestinal system
			973 Poisoning by agents primarily affecting the gastrointestinal system
			973.0 Poisoning by antacids and antigastric secretion drugs
			973.1 Poisoning by irritant cathartics
			973.2 Poisoning by emollient cathartics
			973.3 Poisoning by other cathartics, including intestinal atonia
			973.4 Poisoning by digestants
			973.5 Poisoning by antidiarrheal drugs
			973.6 Poisoning by emetics
			973.8 Poisoning by other specified agents primarily affecting the gastrointestinal system
			973.9 Poisoning by unspecified agent primarily affecting the gastrointestinal system
		974 Poisoning by water mineral and uric acid metabolism drugs
			974 Poisoning by water mineral and uric acid metabolism drugs
			974.0 Poisoning by mercurial diuretics
			974.1 Poisoning by purine derivative diuretics
			974.2 Poisoning by carbonic acid anhydrase inhibitors
			974.3 Poisoning by saluretics
			974.4 Poisoning by other diuretics
			974.5 Poisoning by electrolytic, caloric, and water-balance agents
			974.6 Poisoning by other mineral salts, not elsewhere classified
			974.7 Poisoning by uric acid metabolism drugs
		975 Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system
			975 Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system
			975.0 Poisoning by oxytocic agents
			975.1 Poisoning by smooth muscle relaxants
			975.2 Poisoning by skeletal muscle relaxants
			975.3 Poisoning by other and unspecified drugs acting on muscles
			975.4 Poisoning by antitussives
			975.5 Poisoning by expectorants
			975.6 Poisoning by anti-common cold drugs
			975.7 Poisoning by antiasthmatics
			975.8 Poisoning by other and unspecified respiratory drugs
		976 Poisoning by agents primarily affecting skin and mucous membrane ophthalmological otorhinolaryngological and dental drugs
			976 Poisoning by agents primarily affecting skin and mucous membrane ophthalmological otorhinolaryngological and dental drugs
			976.0 Poisoning by local anti-infectives and anti-inflammatory drugs
			976.1 Poisoning by antipruritics
			976.2 Poisoning by local astringents and local detergents
			976.3 Poisoning by emollients, demulcents, and protectants
			976.4 Poisoning by keratolytics, keratoplastics, other hair treatment drugs and preparations
			976.5 Poisoning by eye anti-infectives and other eye drugs
			976.6 Poisoning by anti-infectives and other drugs and preparations for ear, nose, and throat
			976.7 Poisoning by dental drugs topically applied
			976.8 Poisoning by other agents primarily affecting skin and mucous membrane
			976.9 Poisoning by unspecified agent primarily affecting skin and mucous membrane
		977 Poisoning by other and unspecified drugs and medicinal substances
			977 Poisoning by other and unspecified drugs and medicinal substances
			977.0 Poisoning by dietetics
			977.1 Poisoning by lipotropic drugs
			977.2 Poisoning by antidotes and chelating agents, not elsewhere classified
			977.3 Poisoning by alcohol deterrents
			977.4 Poisoning by pharmaceutical excipients
			977.8 Poisoning by other specified drugs and medicinal substances
			977.9 Poisoning by unspecified drug or medicinal substance
		978 Poisoning by bacterial vaccines
			978 Poisoning by bacterial vaccines
			978.0 Poisoning by BCG vaccine
			978.1 Poisoning by typhoid and paratyphoid vaccine
			978.2 Poisoning by cholera vaccine
			978.3 Poisoning by plague vaccine
			978.4 Poisoning by tetanus vaccine
			978.5 Poisoning by diphtheria vaccine
			978.6 Poisoning by pertussis vaccine, including combinations with a pertussis component
			978.8 Poisoning by other and unspecified bacterial vaccines
			978.9 Poisoning by mixed bacterial vaccines, except combinations with a pertussis component
		979 Poisoning by other vaccines and biological substances
			979 Poisoning by other vaccines and biological substances
			979.0 Poisoning by smallpox vaccine
			979.1 Poisoning by rabies vaccine
			979.2 Poisoning by typhus vaccine
			979.3 Poisoning by yellow fever vaccine
			979.4 Poisoning by measles vaccine
			979.5 Poisoning by poliomyelitis vaccine
			979.6 Poisoning by other and unspecified viral and rickettsial vaccines
			979.7 Poisoning by mixed viral-rickettsial and bacterial vaccines, except combinations with a pertussis component
			979.9 Poisoning by other and unspecified vaccines and biological substances
	980-989 Toxic Effects Of Substances Chiefly Nonmedicinal As To Source
		980 Toxic effect of alcohol
			980 Toxic effect of alcohol
			980.0 Toxic effect of ethyl alcohol
			980.1 Toxic effect of methyl alcohol
			980.2 Toxic effect of isopropyl alcohol
			980.3 Toxic effect of fusel oil
